annual_inc,chargeoff_within_12_mths,delinq_amnt,delinq_2yrs,dti,installment,int_rate,loan_amnt,mths_since_last_delinq,bad_loans
38500.0,0.0,0.0,1.0,30.34,142.66,13.56,4200.0,16.0,0
90000.0,0.0,0.0,0.0,14.13,309.74,7.21,10000.0,42.0,0
59000.0,0.0,0.0,0.0,12.45,169.0,6.67,5500.0,52.0,0
65000.0,0.0,0.0,0.0,16.89,271.39,12.73,12000.0,52.0,1
60000.0,0.0,0.0,0.0,26.58,880.66,16.14,25000.0,80.0,0
68000.0,0.0,0.0,0.0,32.24,467.57,12.73,20675.0,27.0,0
50000.0,0.0,0.0,0.0,24.34,516.88,10.08,16000.0,44.0,1
50000.0,0.0,0.0,0.0,21.75,149.56,16.91,4200.0,25.0,0
49500.0,0.0,0.0,0.0,16.9,237.6,11.55,7200.0,56.0,0
58000.0,0.0,0.0,0.0,10.35,245.82,6.67,8000.0,45.0,0
100000.0,0.0,0.0,1.0,7.18,756.94,14.47,22000.0,20.0,1
51000.0,0.0,0.0,0.0,26.26,362.71,18.94,14000.0,67.0,0
117510.0,0.0,0.0,0.0,20.19,303.54,7.21,9800.0,30.0,0
93000.0,0.0,0.0,0.0,17.87,185.62,19.92,5000.0,35.0,0
66000.0,0.0,0.0,1.0,8.58,65.54,11.06,2000.0,9.0,0
100000.0,0.0,0.0,0.0,37.79,176.14,16.14,5000.0,24.0,0
88000.0,0.0,0.0,6.0,27.74,80.56,12.73,2400.0,10.0,0
86000.0,0.0,0.0,3.0,15.04,135.86,13.56,4000.0,16.0,1
72000.0,0.0,0.0,2.0,14.37,709.23,25.34,24000.0,11.0,0
77500.0,0.0,0.0,0.0,14.46,113.69,6.67,3700.0,71.0,0
100000.0,0.0,0.0,0.0,17.47,778.92,22.35,28000.0,58.0,0
38000.0,0.0,0.0,0.0,11.33,64.98,10.47,2000.0,33.0,0
50000.0,0.0,0.0,1.0,23.98,396.87,16.91,16000.0,8.0,0
40750.0,0.0,0.0,0.0,30.78,688.13,14.47,20000.0,70.0,1
50000.0,0.0,0.0,0.0,11.47,262.14,11.06,8000.0,46.0,1
40000.0,0.0,0.0,0.0,21.15,312.63,7.84,10000.0,26.0,0
50000.0,0.0,0.0,0.0,24.44,137.63,14.47,4000.0,51.0,0
43000.0,0.0,0.0,1.0,8.88,78.88,8.46,2500.0,20.0,0
25000.0,0.0,0.0,0.0,27.12,410.44,28.72,13000.0,34.0,0
200000.0,0.0,0.0,0.0,4.33,188.1,20.89,5000.0,35.0,0
67000.0,0.0,0.0,0.0,11.33,421.74,26.31,14000.0,49.0,0
126000.0,0.0,0.0,0.0,28.9,1051.28,6.11,34500.0,37.0,0
70000.0,0.0,0.0,0.0,16.92,196.61,11.06,6000.0,33.0,0
120000.0,0.0,0.0,1.0,8.59,255.53,7.21,8250.0,20.0,0
55000.0,0.0,0.0,1.0,11.08,462.91,16.91,13000.0,13.0,0
41000.0,0.0,0.0,0.0,14.75,315.5,8.46,10000.0,24.0,0
78000.0,0.0,0.0,2.0,18.83,705.38,14.47,30000.0,15.0,0
79000.0,0.0,0.0,2.0,15.33,375.16,7.84,12000.0,16.0,0
105600.0,0.0,0.0,0.0,9.25,1196.3,15.02,34500.0,52.0,0
22000.0,0.0,0.0,0.0,20.24,99.0,11.55,3000.0,31.0,0
