acc_now_delinq,acc_open_past_24mths,all_util,annual_inc,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,collections_12_mths_ex_med,delinq_amnt,dti,inq_fi,inq_last_12m,inq_last_6mths,installment,int_rate,last_pymnt_amnt,loan_amnt,max_bal_bc,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_last_delinq,mths_since_rcnt_il,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,open_acc,open_acc_6m,open_act_il,open_il_12m,open_il_24m,open_rv_12m,open_rv_24m,out_prncp,out_prncp_inv,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,revol_bal,revol_util,tax_liens,tot_coll_amt,tot_cur_bal,tot_hi_cred_lim,total_acc,total_bal_ex_mort,total_bal_il,total_bc_limit,total_cu_tl,total_il_high_credit_limit,total_pymnt,total_pymnt_inv,total_rec_int,total_rec_late_fee,total_rec_prncp,total_rev_hi_lim,delinq_2yrs,bad_loans
0.0,4.0,48.0,38500.0,2527.0,4177.0,42.8,0.0,0.0,0.0,30.34,1.0,1.0,0.0,142.66,13.56,4154.2,4200.0,1703.0,182.0,174.0,3.0,3.0,0.0,16.0,8.0,0.0,2.0,4.0,2.0,9.0,33.0,7.0,20.0,4.0,10.0,0.0,0.0,3.0,10.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,94.4,0.0,0.0,3369.0,28.3,0.0,0.0,22741.0,46940.0,54.0,22741.0,16196.0,7300.0,2.0,31689.0,4290.5339949264,4290.53,90.53,0.0,4200.0,11900.0,1.0,0
0.0,3.0,47.0,90000.0,4089.0,26952.0,7.1,0.0,0.0,0.0,14.13,1.0,4.0,0.0,309.74,7.21,309.74,10000.0,1555.0,131.0,175.0,31.0,4.0,0.0,42.0,4.0,0.0,2.0,2.0,4.0,5.0,12.0,5.0,8.0,2.0,11.0,0.0,0.0,3.0,11.0,2.0,6.0,3.0,3.0,0.0,0.0,9499.18,9499.18,100.0,0.0,0.0,2048.0,6.2,0.0,0.0,40888.0,86885.0,21.0,40888.0,38840.0,29000.0,0.0,53885.0,591.45,591.45,90.63,0.0,500.82,33000.0,0.0,0
0.0,11.0,65.0,59000.0,3408.0,2391.0,20.3,0.0,0.0,0.0,12.45,3.0,5.0,0.0,169.0,6.67,25.01,5500.0,609.0,150.0,365.0,2.0,2.0,1.0,52.0,4.0,0.0,1.0,6.0,1.0,12.0,12.0,10.0,45.0,6.0,13.0,0.0,0.0,4.0,13.0,3.0,2.0,2.0,5.0,2.0,6.0,0.0,0.0,100.0,0.0,0.0,4355.0,17.3,0.0,0.0,40893.0,62961.0,59.0,40893.0,36538.0,3000.0,5.0,37761.0,5575.924047269201,5575.92,75.92,0.0,5500.0,25200.0,0.0,0
0.0,6.0,41.0,65000.0,14569.0,17995.0,7.7,0.0,0.0,0.0,16.89,2.0,10.0,0.0,271.39,12.73,271.39,12000.0,1074.0,127.0,98.0,5.0,5.0,1.0,52.0,9.0,5.0,2.0,2.0,7.0,9.0,21.0,9.0,16.0,2.0,21.0,0.0,0.0,4.0,21.0,2.0,11.0,1.0,1.0,2.0,4.0,11855.91,11855.91,82.1,0.0,0.0,1505.0,7.2,0.0,0.0,291389.0,317987.0,39.0,61137.0,59632.0,19500.0,2.0,65563.0,254.42,254.42,110.33,0.0,144.09,21000.0,0.0,1
0.0,7.0,47.0,60000.0,3464.0,46394.0,43.6,0.0,0.0,0.0,26.58,0.0,1.0,0.0,880.66,16.14,25062.09,25000.0,11915.0,227.0,242.0,3.0,3.0,0.0,80.0,12.0,1.0,6.0,8.0,12.0,13.0,7.0,15.0,19.0,8.0,17.0,0.0,0.0,2.0,17.0,1.0,2.0,1.0,1.0,1.0,6.0,0.0,0.0,96.2,25.0,0.0,37387.0,40.7,0.0,0.0,58881.0,126637.0,26.0,58881.0,21494.0,82200.0,1.0,34837.0,25017.2641666665,25017.26,17.26,0.0,25000.0,91800.0,0.0,0
0.0,11.0,43.0,68000.0,6467.0,29849.0,32.8,0.0,0.0,0.0,32.24,2.0,3.0,1.0,467.57,12.73,21011.21,20675.0,8900.0,143.0,127.0,1.0,1.0,2.0,27.0,11.0,0.0,6.0,9.0,13.0,18.0,22.0,28.0,42.0,9.0,34.0,0.0,0.0,7.0,34.0,1.0,5.0,1.0,2.0,6.0,9.0,0.0,0.0,98.5,15.4,0.0,14879.0,18.4,0.0,0.0,219865.0,328673.0,66.0,66484.0,51605.0,44400.0,5.0,72316.0,20981.9740635944,20981.97,306.97,0.0,20675.0,81000.0,0.0,0
0.0,3.0,36.0,50000.0,3863.0,19810.0,32.4,0.0,0.0,0.0,24.34,1.0,1.0,1.0,516.88,10.08,516.88,16000.0,4818.0,108.0,72.0,10.0,10.0,0.0,44.0,18.0,0.0,6.0,8.0,9.0,11.0,12.0,14.0,18.0,8.0,18.0,0.0,0.0,2.0,18.0,0.0,4.0,0.0,1.0,2.0,2.0,15617.52,15617.52,96.7,22.2,0.0,14745.0,29.4,0.0,0.0,69534.0,113641.0,30.0,69534.0,54789.0,29300.0,1.0,63541.0,498.96,498.96,116.48,0.0,382.48,50100.0,0.0,1
0.0,5.0,80.0,50000.0,4906.0,593.0,85.2,0.0,0.0,0.0,21.75,1.0,1.0,0.0,149.56,16.91,4261.16,4200.0,1857.0,127.0,288.0,14.0,4.0,1.0,25.0,4.0,0.0,2.0,4.0,2.0,7.0,5.0,4.0,14.0,4.0,8.0,0.0,0.0,3.0,8.0,2.0,4.0,3.0,4.0,0.0,1.0,0.0,0.0,88.2,100.0,0.0,3488.0,49.8,0.0,0.0,39245.0,48948.0,20.0,39245.0,35757.0,4000.0,1.0,41948.0,4253.2678333323,4253.27,53.27,0.0,4200.0,7000.0,0.0,0
0.0,7.0,27.0,49500.0,1099.0,27913.0,1.4,0.0,0.0,0.0,16.9,2.0,4.0,2.0,237.6,11.55,7225.41,7200.0,387.0,174.0,289.0,11.0,3.0,2.0,56.0,3.0,1.0,1.0,3.0,6.0,15.0,11.0,16.0,32.0,3.0,18.0,0.0,0.0,2.0,18.0,1.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,93.3,0.0,0.0,521.0,1.0,0.0,0.0,19784.0,72335.0,45.0,19784.0,19263.0,28300.0,0.0,21935.0,7216.17,7216.17,16.17,0.0,7200.0,50400.0,0.0,0
0.0,9.0,32.0,58000.0,3041.0,18123.0,20.5,0.0,0.0,0.0,10.35,1.0,0.0,0.0,245.82,6.67,8057.58,8000.0,4624.0,145.0,116.0,3.0,3.0,0.0,45.0,12.0,0.0,2.0,2.0,3.0,13.0,20.0,3.0,13.0,2.0,5.0,0.0,0.0,4.0,5.0,2.0,2.0,1.0,5.0,3.0,4.0,0.0,0.0,97.0,0.0,0.0,4677.0,20.5,0.0,0.0,15207.0,47849.0,33.0,15207.0,10530.0,22800.0,0.0,25049.0,8051.6528251716,8051.65,51.65,0.0,8000.0,22800.0,0.0,0
